idautorizacion |  idtransaccion   | codrespuesta | importe |    idcomercio    |    numerotarjeta    |           fecha            | moneda 
----------------+------------------+--------------+---------+------------------+---------------------+----------------------------+--------
              1 | 100              | 000          |     349 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:40.787775 | USD
              2 | 101              | 000          |     543 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:40.986967 | USD
              3 | 103              | 000          |     475 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.03054  | USD
              4 | 102              | 000          |     469 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.031004 | USD
              5 | 104              | 000          |     304 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.035133 | USD
              6 | 105              | 000          |     354 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.036526 | USD
              7 | 107              | 000          |     329 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.039896 | USD
              8 | 106              | 000          |     555 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.042557 | USD
              9 | 108              | 000          |     527 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.046679 | USD
             10 | 109              | 000          |     326 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.049013 | USD
             11 | 110              | 000          |     356 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.050308 | USD
             12 | 112              | 000          |     567 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.053489 | USD
             13 | 111              | 000          |     359 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.05352  | USD
             14 | 113              | 000          |     559 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.057814 | USD
             15 | 114              | 000          |     465 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.057832 | USD
             16 | 116              | 000          |     542 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.062095 | USD
             17 | 115              | 000          |     441 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.064355 | USD
             18 | 117              | 000          |     372 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.067837 | USD
             19 | 119              | 000          |     480 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.072105 | USD
             20 | 118              | 000          |     380 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.072479 | USD
             21 | 120              | 000          |     460 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.233712 | USD
             22 | 121              | 000          |     393 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.237801 | USD
             23 | 122              | 000          |     574 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.241045 | USD
             24 | 123              | 000          |     440 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.244093 | USD
             25 | 124              | 000          |     539 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.24704  | USD
             26 | 125              | 000          |     367 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.250227 | USD
             27 | 126              | 000          |     446 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.253469 | USD
             28 | 127              | 000          |     437 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.256553 | USD
             29 | 128              | 000          |     353 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.262073 | USD
             30 | 129              | 000          |     422 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.266033 | USD
             31 | 130              | 000          |     440 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.482203 | USD
             32 | 131              | 000          |     331 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.486069 | USD
             33 | 132              | 000          |     455 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.489622 | USD
             34 | 133              | 000          |     371 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.493294 | USD
             35 | 134              | 000          |     348 | 325              | 1111 2222 3333 4444 | 2023-05-06 16:21:41.49672  | USD
:


